IRI,value,def
OpenLHS-Core_0000058,has textual representation,
OpenLHS-Core_0000059,has value,
OpenLHS-Core_0000072,has numerical value,
OpenLHS-Core_0000073,has temporal value,
OpenLHS-Core_0000074,has text value,
